time,open,high,low,close,Volume,Volume MA
2020-05-26T04:30:00Z,203.53,203.63,203.42,203.54,26.42701,9.284115500000135
2020-05-26T06:00:00Z,203.07,203.07,202.06,202.06,0.32082,6.829825000000135
2020-05-26T06:30:00Z,201.93,202.25,201.93,202.22,1.30152,6.858615000000135
2020-05-26T07:00:00Z,202.63,202.65,202.63,202.65,3.24241,6.3912735000001355
2020-05-26T07:30:00Z,203.07,203.07,203.03,203.03,7.16851,6.738448500000136
2020-05-26T08:00:00Z,203.1,203.1,202.98,202.98,0.29091,6.489492000000136
2020-05-26T08:30:00Z,203.3,203.3,202.92,202.92,5.03791,6.022780000000136
2020-05-26T09:00:00Z,202.56,202.67,202,202,14.55713,6.146750000000136
2020-05-26T09:30:00Z,202,202.47,201.48,201.48,20.42182,6.8973805000001365
2020-05-26T10:00:00Z,202,202.45,202,202.08,8.59673,5.726680500000137
2020-05-26T10:30:00Z,202.06,202.07,201.18,201.62,15.39661,6.368820500000137
2020-05-26T11:00:00Z,201.15,201.68,200.46,200.98,4.90186,6.602127500000137
2020-05-26T11:30:00Z,201.42,201.67,200.69,201.05,11.72113,6.6710280000001365
2020-05-26T12:00:00Z,200.41,201.97,200.11,200.12,18.43015,7.441630000000136
2020-05-26T12:30:00Z,200.14,200.35,199.34,199.93,72.43144,11.045351500000134
2020-05-26T13:00:00Z,199.45,200.98,199.45,200.98,58.97415,13.889373000000134
2020-05-26T13:30:00Z,200.5,200.53,200.5,200.53,1.12481,13.666282500000136
2020-05-26T14:00:00Z,201.41,201.41,201.41,201.41,0.08231,13.667222500000136
2020-05-26T14:30:00Z,201.2,201.2,200.15,200.15,25.00122,14.777303000000137
2020-05-26T15:00:00Z,200.15,200.31,197.61,198.04,26.28385,16.08561500000014
2020-05-26T15:30:00Z,198.14,198.96,196.3,196.89,20.8523,15.80687950000014
2020-05-26T16:00:00Z,196.27,198.4,196.19,198.3,9.28544,16.255110500000136
2020-05-26T16:30:00Z,198.8,199.42,198.71,199.42,8.70642,16.625355500000136
2020-05-26T17:00:00Z,199.26,199.26,199.26,199.26,5.00001,16.713235500000135
2020-05-26T17:30:00Z,198.6,199.49,198.53,199.49,22.15053,17.462336500000134
2020-05-26T18:00:00Z,199.15,199.49,198.7,199.43,12.14204,18.054893000000135
2020-05-26T18:30:00Z,199.42,199.42,199.07,199.07,9.62032,18.284013500000135
2020-05-26T19:00:00Z,199.14,199.14,198.27,198.27,13.16464,18.214389000000132
2020-05-26T19:30:00Z,198.19,198.37,192.84,197.23,1266.80177,80.53338650000013
2020-05-26T20:00:00Z,198.11,198.87,197.43,198.82,133.38683,86.77289150000013
2020-05-26T20:30:00Z,198.79,201.49,198.23,200.69,30.78046,87.54208400000013
2020-05-26T21:00:00Z,200.95,200.95,200.19,200.31,32.77593,88.93578750000013
2020-05-26T21:30:00Z,200.39,200.72,200.39,200.45,2.73514,88.48648800000014
2020-05-26T22:00:00Z,200.28,200.34,200,200.34,7.10592,87.92027650000014
2020-05-26T22:30:00Z,199.89,200.57,199.89,200.57,10.56772,84.82709050000014
2020-05-26T23:00:00Z,200.49,200.49,200.27,200.36,12.05511,82.48113850000013
2020-05-26T23:30:00Z,200.18,200.18,200.08,200.08,2.13961,82.53187850000013
2020-05-27T00:30:00Z,201,201.22,201,201.08,7.82272,82.91889900000012
2020-05-27T01:00:00Z,201.21,201.35,200.62,201.2,13.87223,82.36244950000011
2020-05-27T02:00:00Z,200.99,201.73,200.99,201.73,16.19002,81.85775800000012
2020-05-27T03:00:00Z,201.04,201.04,200.88,200.88,0.10641,80.82046350000012
2020-05-27T03:30:00Z,201.12,201.27,201.09,201.17,0.21973,80.36717800000011
2020-05-27T04:00:00Z,201.35,201.46,201.16,201.16,2.41182,80.05244800000011
2020-05-27T05:00:00Z,201.23,201.37,200.49,201.37,45.37543,82.07121900000013
2020-05-27T05:30:00Z,201.19,202.32,201.19,202.32,6.43774,81.28557950000013
2020-05-27T06:00:00Z,202.61,203.12,202.61,202.95,1.38321,80.74763800000014
2020-05-27T06:30:00Z,202.48,202.48,202.11,202.11,7.40921,80.63708250000013
2020-05-27T07:00:00Z,202.06,202.62,202.06,202.62,9.48862,80.45328150000014
2020-05-27T08:00:00Z,202.78,203.35,202.78,203.35,36.80791,18.953588500000137
2020-05-27T08:30:00Z,203.35,203.48,202.84,203.21,17.06292,13.137393000000136
2020-05-27T09:00:00Z,202.83,202.83,202.83,202.83,0.10271,11.603505500000136
2020-05-27T09:30:00Z,202.92,203.24,202.92,203.18,27.36772,11.333095000000135
2020-05-27T10:00:00Z,203.88,204.08,203.88,204.08,21.42691,12.267683500000135
2020-05-27T10:30:00Z,204.21,206,204.21,205.13,25.17783,13.171279000000135
2020-05-27T11:00:00Z,206.03,206.04,205.29,206,5.54903,12.920344500000136
2020-05-27T11:30:00Z,205.28,206.2,204.95,206.2,29.53112,13.794145000000134
2020-05-27T12:00:00Z,206.41,206.82,206.35,206.45,5.42604,13.958466500000133
2020-05-27T12:30:00Z,206.54,206.54,205.98,206.2,18.22892,14.478776500000134
2020-05-27T13:00:00Z,206.2,206.65,206.11,206.2,20.65623,14.817976500000134
2020-05-27T13:30:00Z,205.91,205.91,205.41,205.72,10.73564,14.545257500000133
2020-05-27T14:00:00Z,205.36,206.21,205.36,206.21,5.43623,14.811748500000135
2020-05-27T14:30:00Z,205.28,205.28,205.09,205.09,1.18741,14.860132500000134
2020-05-27T15:00:00Z,205.77,206.42,205.3,205.72,7.95985,15.137534000000135
2020-05-27T15:30:00Z,204.93,205.41,204.93,205.41,12.17393,13.477459000000135
2020-05-27T16:00:00Z,205.8,206.49,205.51,206.42,0.88763,13.199953500000134
2020-05-27T16:30:00Z,206.42,206.81,206.42,206.67,17.86645,14.024115500000132
2020-05-27T17:00:00Z,206.68,207.05,206.62,207.05,0.67072,13.687191000000135
2020-05-27T17:30:00Z,206.93,207.37,206.82,206.84,33.27322,14.876421000000132
2020-05-27T18:00:00Z,206.84,207.07,206.81,207.07,4.33662,13.252856500000131
2020-05-27T18:30:00Z,206.63,206.88,206.26,206.26,4.89952,12.644686500000132
2020-05-27T19:00:00Z,205.6,205.88,205.59,205.59,5.56773,12.917937500000132
2020-05-27T19:30:00Z,205.79,205.79,205.73,205.73,0.14671,11.556887000000135
2020-05-27T20:00:00Z,206.14,206.18,206.14,206.18,0.88771,10.529927000000134
2020-05-27T20:30:00Z,206.17,206.17,205.6,205.6,0.10371,9.276221000000135
2020-05-27T21:00:00Z,205.59,205.59,205.34,205.56,4.65801,9.231670000000134
2020-05-27T21:30:00Z,205.07,205.81,204.52,205.81,29.83337,9.246782500000133
